--------------------------------------------,,,,,,,,,
Linear Kernel - samples combined,,,,,,,,,
--------------------------------------------,,,,,,,,,
C,in,out,in,out,in,out,avg-in,avg-out,
3**-10.0,17.40%,15.27%,18.43%,17.33%,18.56%,18.00%,18.13%,16.87%,
3**-7.0,88.44%,87.73%,88.46%,86.53%,88.13%,88.06%,88.34%,87.44%,
3**-5.0,92.31%,92.00%,92.28%,91.73%,92.75%,90.26%,92.45%,91.33%,
3**-3.0,96.03%,92.40%,96.46%,92.93%,96.46%,92.53%,96.32%,92.62%,
3**-1.0,99.37%,91.40%,99.31%,91.26%,99.41%,91.80%,99.36%,91.49%,
3**0.0,99.95%,91.00%,99.81%,90.26%,99.90%,92.00%,99.89%,91.09%,
3**1.0,99.93%,89.73%,99.98%,91.93%,99.98%,90.93%,99.96%,90.86%,
3**2.0,100.00%,91.13%,100.00%,90.00%,100.00%,90.33%,100.00%,90.49%,
3**3.0,100.00%,89.53%,100.00%,89.40%,100.00%,91.26%,100.00%,90.06%,
3**4.0,100.00%,92.33%,100.00%,90.60%,100.00%,89.73%,100.00%,90.89%,
3**5.0,100.00%,91.86%,100.00%,90.46%,100.00%,89.53%,100.00%,90.62%,
3**6.0,100.00%,90.27%,100.00%,91.40%,100.00%,90.80%,100.00%,90.82%,
3**7.0,100.00%,91.06%,100.00%,90.73%,100.00%,90.33%,100.00%,90.71%,
--------------------------------------------,,,,,,,,,
Polynomial Kernel - combined samples,,,,,,,,,
--------------------------------------------,,,,,,,,,
C,d,in,out,in,out,in,out,avg-in,avg-out
3**-10.0,2,10.28%,8.86%,10.25%,9.00%,10.21%,9.13%,10.25%,9.00%
3**-10.0,3,10.20%,9.20%,10.25%,9.00%,10.48%,8.06%,10.31%,8.75%
3**-10.0,4,10.36%,8.53%,10.35%,8.60%,10.25%,9.00%,10.32%,8.71%
3**-7.0,2,10.28%,8.86%,10.31%,8.73%,10.25%,9.00%,10.28%,8.86%
3**-7.0,3,10.40%,8.40%,10.31%,8.73%,10.41%,8.33%,10.37%,8.49%
3**-7.0,4,10.18%,9.26%,10.31%,8.73%,10.21%,9.13%,10.23%,9.04%
3**-5.0,2,10.23%,9.06%,10.31%,8.73%,10.31%,8.73%,10.28%,8.84%
3**-5.0,3,10.33%,8.66%,10.21%,9.13%,10.25%,9.00%,10.26%,8.93%
3**-5.0,4,15.08%,14.06%,10.31%,8.73%,10.20%,9.20%,11.86%,10.66%
3**-3.0,2,26.41%,24.93%,20.38%,17.40%,33.33%,32.06%,26.71%,24.80%
3**-3.0,3,10.33%,8.93%,10.45%,8.66%,10.58%,8.93%,10.45%,8.84%
3**-3.0,4,10.28%,8.86%,10.29%,8.79%,10.35%,8.60%,10.31%,8.75%
3**-1.0,2,83.11%,82.33%,83.26%,82.80%,83.50%,83.20%,83.29%,82.78%
3**-1.0,3,59.28%,59.40%,63.55%,63.60%,65.08%,63.66%,62.64%,62.22%
3**-1.0,4,20.50%,20.46%,22.05%,19.46%,19.58%,19.60%,20.71%,19.84%
3**0.0,2,88.83%,86.60%,88.85%,87.33%,88.90%,87.40%,88.86%,87.11%
3**0.0,3,79.61%,77.73%,78.88%,78.26%,79.83%,76.60%,79.44%,77.53%
3**0.0,4,46.01%,45.60%,56.59%,54.80%,50.84%,48.80%,51.15%,49.73%
3**1.0,2,92.01%,91.00%,92.11%,90.33%,92.06%,91.26%,92.06%,90.86%
3**1.0,3,87.03%,86.20%,87.03%,86.00%,86.90%,85.86%,86.99%,86.02%
3**1.0,4,71.06%,71.06%,71.31%,70.66%,72.05%,70.53%,71.47%,70.75%
3**2.0,2,94.19%,93.93%,94.39%,92.93%,94.68%,93.06%,94.42%,93.31%
3**2.0,3,92.01%,88.33%,91.60%,90.60%,91.56%,90.53%,91.72%,89.82%
3**2.0,4,83.93%,82.93%,84.10%,82.60%,83.60%,82.80%,83.88%,82.78%
3**3.0,2,97.08%,94.33%,97.33%,93.66%,97.08%,93.06%,97.16%,93.68%
3**3.0,3,94.89%,92.13%,95.08%,92.80%,95.01%,92.93%,94.99%,92.62%
3**3.0,4,89.45%,88.40%,89.66%,88.40%,90.00%,89.00%,89.70%,88.60%
3**4.0,2,98.83%,94.33%,99.10%,94.66%,99.13%,94.66%,99.02%,94.55%
3**4.0,3,97.55%,93.86%,97.70%,94.13%,97.36%,94.73%,97.54%,94.24%
3**4.0,4,93.83%,91.26%,93.73%,91.33%,93.96%,91.60%,93.84%,91.40%
3**5.0,2,99.85%,93.80%,99.85%,94.13%,99.86%,95.53%,99.85%,94.49%
